#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
11500000  330.8  1.760E+02  2.038E+01  -1.645E+01  -6.168E-01  -1.706E+01  1.386E+02
11600000  346.2  1.842E+02  2.842E+01  -1.663E+01  -6.168E-01  -1.725E+01  1.386E+02
11700000  346.6  1.844E+02  2.842E+01  -1.682E+01  -6.168E-01  -1.743E+01  1.386E+02
11800000  346.9  1.846E+02  2.842E+01  -1.698E+01  -6.168E-01  -1.760E+01  1.386E+02
11900000  349.5  1.860E+02  2.970E+01  -1.709E+01  -6.168E-01  -1.771E+01  1.386E+02
12000000  356.5  1.897E+02  3.339E+01  -1.712E+01  -6.168E-01  -1.774E+01  1.386E+02
12100000  362.0  1.926E+02  3.644E+01  -1.702E+01  -6.168E-01  -1.764E+01  1.386E+02
12200000  363.7  1.935E+02  3.758E+01  -1.675E+01  -6.168E-01  -1.737E+01  1.386E+02
12300000  357.0  1.900E+02  3.450E+01  -1.630E+01  -6.168E-01  -1.692E+01  1.386E+02
12400000  351.5  1.870E+02  3.213E+01  -1.572E+01  -6.168E-01  -1.634E+01  1.386E+02
12500000  346.7  1.845E+02  3.009E+01  -1.522E+01  -6.168E-01  -1.584E+01  1.386E+02
12600000  346.3  1.843E+02  3.009E+01  -1.502E+01  -6.168E-01  -1.564E+01  1.386E+02
12700000  342.3  1.821E+02  2.782E+01  -1.515E+01  -6.168E-01  -1.576E+01  1.386E+02
12800000  345.6  1.839E+02  2.934E+01  -1.537E+01  -6.168E-01  -1.598E+01  1.386E+02
12900000  340.7  1.813E+02  2.696E+01  -1.513E+01  -6.168E-01  -1.575E+01  1.386E+02
13000000  339.0  1.804E+02  2.696E+01  -1.422E+01  -6.168E-01  -1.484E+01  1.386E+02
13100000  338.2  1.800E+02  2.696E+01  -1.384E+01  -6.168E-01  -1.446E+01  1.386E+02
13200000  336.5  1.791E+02  2.469E+01  -1.521E+01  -6.168E-01  -1.583E+01  1.386E+02
13300000  339.7  1.808E+02  2.469E+01  -1.691E+01  -6.168E-01  -1.752E+01  1.386E+02
13400000  341.5  1.817E+02  2.469E+01  -1.783E+01  -6.168E-01  -1.844E+01  1.386E+02
13500000  338.5  1.801E+02  2.287E+01  -1.809E+01  -6.168E-01  -1.871E+01  1.386E+02
